0
into fundamental theory
theory tcat that
developed macroscale theory
macroscale theory
macroscale theory provide
theory provide
theory provide evolution
based information theory
information theory
information theory proposed
theory proposed
theory proposed quantify
game theory
game theory water
theory water
theory water resources
parties game theory
game theory
game theory identify
theory identify
theory identify interpret
predicted game theory
game theory
game theory often
theory often
theory often differ
applicability game theory
game theory
game theory water
theory water
theory water resources
information theory
information theory based
theory based
theory based decision
entropy information theory
information theory
information theory design
theory design
theory design evaluate
information theory
information theory based
theory based
theory based approach
use information theory
information theory
information theory design
theory design
theory design hydrological
modelling cultural theory
cultural theory
cultural theory proposes
theory proposes
theory proposes four
social science theory
science theory
science theory applied
theory applied
theory applied tested
obukhov similarity theory
similarity theory
similarity theory h
theory h
theory h derived
scales measurements theory
measurements theory
measurements theory models
theory models
theory models spatial
catchment using theory
using theory
using theory transport
theory transport
theory transport travel
kinematic wave theory
wave theory
wave theory accounts
theory accounts
theory accounts explicitly
applying fuzzy theory
fuzzy theory
fuzzy theory genetic
theory genetic
theory genetic algorithm
method fuzzy theory
fuzzy theory
fuzzy theory applied
theory applied
theory applied precipitation
1 graph theory
graph theory
graph theory pattern
theory pattern
theory pattern adjustment
based graph theory
graph theory
graph theory presented
theory presented
theory presented one
using perturbation theory
perturbation theory
perturbation theory single
theory single
theory single well
domain perturbation theory
perturbation theory
perturbation theory anisotropic
theory anisotropic
theory anisotropic permeable
weak form theory
form theory
form theory guided
theory guided
theory guided neural
weak form theory
form theory
form theory guided
theory guided
theory guided neural
cooperative game theory
game theory
game theory approaches
theory approaches
